PDF Path,Text,cleaned_Text
10.pdf,"""DOTI Official 2 explained that the technical details of the Cargo Apron extension project were taken from the cargo terminal study produced by the Evaluation Company and pasted into the tender document specifications. Thereafter, it was up to the company winning the tender to demonstrate that they could fulfil the specification.

According to DOTI Official 2, Airport Engineer 1, who arrived shortly after the tender had been launched, had been angry with the Evaluation Company for allowing DOTI Official 2 to send out excerpts of their study as the tender specifications. Airport Engineer 1 had also expressed concern at the method used for preparing the tender documents, as from an engineering point of view the tenders did not contain sufficient detail. However, DOTI Official 2 stated that if the Evaluation Company had been asked to prepare the tender documents, it would have cost more money. He/she had therefore prepared the tender documents himself/herself and sent them to a Procurement Official at the CPE to review and help him with the procurement exercise.

Assistance from the CPE was provided primarily by a CPE Procurement Officer, and to a lesser extent by the Procurement Official, as to the procurement documents and rules. However, DOTI Official 2 expressed the view that neither the Procurement Official nor the CPE Procurement Officer would have had the technical expertise or time to review the technical specifications.

DOTI Official 2 emphasised that there was no engineering expert to support his/her work at the time the tender was launched, a fact that made his/her work very difficult.""",doti official 2 explain technical detail cargo apron extension project take cargo terminal study produce evaluation company paste tender document specification company win tender demonstrate fulfil specification accord doti official 2 airport engineer 1 arrive shortly tender launch angry evaluation company allow doti official 2 send excerpt study tender specification airport engineer 1 express concern method prepare tender document engineering point view tender contain sufficient detail doti official 2 state evaluation company ask prepare tender document cost money prepare tender document send procurement official cpe review help procurement exercise assistance cpe provide primarily cpe procurement officer less extent procurement official procurement document rule doti official 2 express view procurement official cpe procurement officer technical expertise time review technical specification doti official 2 emphasise engineering expert support work time tender launch fact work difficult
10.pdf,"""DOTI Official 2 is primarily responsible for the shortcomings in the tender documents although, DOTI Official 1 and the CPE must also bear a certain amount of responsibility.

The shortcomings in the tender documents are likely to have prejudiced some companies in their decision as to submitting bids for the tenders, since they may not have been clear as to the detailed requirements of the tender and therefore submitted insufficient detail in their bids as a result.

Three persons are indicated to have both attended the bid opening session as well as been on the tender evaluation committee, in conflict with UN regulations.

Evidence indicates the contract for the Cargo Apron Extension was not channelled through the Office of the Legal Adviser.

Evidence indicates that the Vendor produced its own bearing capacity report for the Cargo Apron, thereby “self certifying” its own work and presenting a potential conflict of interest.""",doti official 2 primarily responsible shortcoming tender document doti official 1 cpe bear certain responsibility shortcoming tender document likely prejudice company decision submit bid tender clear detailed requirement tender submit insufficient detail bid result person indicate attend bid opening session tender evaluation committee conflict un regulation evidence indicate contract cargo apron extension channel office legal adviser evidence indicate vendor produce bearing capacity report cargo apron self certify work present potential conflict interest
105.pdf,"""Description

This is a Secret US National Security Agency (NSA) report derived from intelligence intercepts of officials  within  the  Japanese Ministry  of Economy, Trade  and  Industry  and  the  Ministry of  Foreign Affairs,  shortly before the official visit of Japanese Prime Minister Shinzo Abe to Washington DC, for talks with President George W Bush. Abe's government is reported to have been considering not informing the United States of the Prime Minister's plan to reduce carbon emissions, on the basis that the plan might be opposed by the  Bush  administration. As  the  report  shows,  the  National  Security Agency  was  aware  both of the plan not to inform the United States, and of the government's change of mind, which was taken at a briefing at the Prime Minister's official residence.""",description secret national security agency nsa report derive intelligence intercept official japanese ministry economy trade industry ministry foreign affairs shortly official visit japanese prime minister shinzo abe washington dc talk president george w bush abes government report consider inform united states prime ministers plan reduce carbon emission basis plan oppose bush administration report show national security agency aware plan inform united states government change mind take briefing prime ministers official residence
105.pdf,"""Japanese to State Goal of Reducing Carbon Emissions by Half by 2050 
(S//SI//NF)

(S//NF) In preparing for the 26 to 27 April visit to Washington by Japanese Prime Minister Shinzo Abe, the Japanese Ministry of Economy, Trade, and Industry (METI) apparently wanted to come up with a simple message regarding climate change with which the U.S. can agree. Accordingly, METI has pushed three principles: technical development, energy conservation and nuclear energy, and participation of all countries in the future framework. Meanwhile, the Ministry of Foreign Affairs (MFA) apparently wants Abe to mention at the bilateral summit Japan's goal of reducing carbon emissions by half by 2050 as part of the ""Abe initiative,"" which will be announced in late May. The MFA was considering not informing the U.S. in advance of its intention, because the ministry did not expect Washington to approve of such a goal, based on the U.S. reaction to climate change issues so far. It was apparently decided at a briefing at the Prime Minister's official residence that Abe will clearly state the goal at the bilateral summit, with advance notification to the United States. Japan anticipates no major harm to the Japanese­U.S. relationship as a result. ",japanese state goal reduce carbon emissions half 2050 ssinf snf prepare 26 27 april visit washington japanese prime minister shinzo abe japanese ministry economy trade industry meti apparently want come simple message climate change agree accordingly meti push principle technical development energy conservation nuclear energy participation country future framework ministry foreign affairs mfa apparently want abe mention bilateral summit japans goal reduce carbon emission half 2050 abe initiative announce late mfa consider inform advance intention ministry expect washington approve goal base reaction climate change issue far apparently decide briefing prime ministers official residence abe clearly state goal bilateral summit advance notification united states japan anticipate major harm japaneseus relationship result
106.pdf,"""Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)

(TS//SI//NF) Japanese climate change officials apparently plan to continue promoting the sectoral approach despite criticism from the International Energy Agency (IEA) and some European Union officials. Fatih Birol, Chief Economist of the IEA, reportedly warned the Japanese in mid­-May that they are pushing too hard to promote the sectoral approach and may be perceived as offering this approach as the only option for reducing carbon emissions. He also cautioned that the sectoral approach is not yet understood and that Tokyo must clarify the concept and promote understanding and trust among the nations concerned. Masakazu Toyoda of the Japanese Ministry of Economy, Trade, and Industry expressed frustration at this criticism then laid out three advantages of the sectoral approach: first, the approach is designed to get China, India, and the U.S. on board; second, this approach allows developed countries to avoid expending unnecessary efforts to reduce carbon emissions in areas covered by the sectoral approach; and third, the sectoral approach will, in Toyoda's estimation, not result in any economic or industrial loss for developed or developing nations. One Japanese official thinks that it may be difficult for the Europeans to implement the sectoral approach in sectors such as electricity, which is already subject to the Emissions Trading Scheme (ETS). He suggested that the ultimate solution is dependent upon the EU accepting a method of determining a figure for total carbon emissions reductions that includes the electricity sector. Toyoda claimed that businesses from several sectors  ­including steel, aluminum, cement, and petroleum­­are threatening to cease their European operations if the ETS continues as is.",tokyos climate change officials continue promote sectoral approach tssinf tssinf japanese climate change official apparently plan continue promote sectoral approach despite criticism international energy agency iea european union official fatih birol chief economist iea reportedly warn japanese midmay push hard promote sectoral approach perceive offer approach option reduce carbon emission caution sectoral approach understand tokyo clarify concept promote understanding trust nation concern masakazu toyoda japanese ministry economy trade industry express frustration criticism lay advantage sectoral approach approach design china india board second approach allow develop country avoid expend unnecessary effort reduce carbon emission area cover sectoral approach sectoral approach toyodas estimation result economic industrial loss developed develop nation japanese official think difficult europeans implement sectoral approach sector electricity subject emissions trading scheme ets suggest ultimate solution dependent eu accept method determine figure total carbon emission reduction include electricity sector toyoda claim business sector include steel aluminum cement petroleumare threaten cease european operation ets continue
107.pdf,"""Description

This is a secret US National Security Agency (NSA) report derived from intelligence intercepts of officials within the Japanese government, shortly before 2008 G-8 Summit held in Lake Toya in Japan. The report observes a widespread impetus within the Japanese government, involving multiple ministries, towards Japanese leadership at the G-8 summit on policy to combat climate change, focusing on a Japanese initiative towards the ""sectoral approach"" to reducing carbon emissions. The report is marked for sharing with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New Zealand.

Japanese Leadership Working to Narrow Down Climate Change Goals for G­8 Summit (TS//SI)

(TS//SI//REL TO USA, AUS, CAN, GBR, NZL) Japanese officials from the Ministry of Economy Trade and Industry, Ministry of Foreign Affairs, Ministry of Finance, and Ministry of Environment briefed Chief Cabinet Secretary Nobutaka Machimura on 20 February on the environmental goals they believe Japan should work toward achieving at the G­8 Summit at Lake Toya, Japan, in July. Obtaining an agreement to use a sector-­based cumulative approach for medium-­term emissions reduction targets for individual countries was mentioned as one of the key objectives. Japan is also seeking to demonstrate its leadership in the environmental sector at the Summit and may announce its domestic emissions reduction goals prior to the meeting.""",description secret national security agency nsa report derive intelligence intercept official japanese government shortly 2008 g8 summit hold lake toya japan report observe widespread impetus japanese government involve multiple ministry japanese leadership g8 summit policy combat climate change focus japanese initiative sectoral approach reduce carbon emission report mark share united states eyes intelligence partner australia canada great britain new zealand japanese leadership work narrow climate change goals g8 summit tssi tssirel usa aus gbr nzl japanese official ministry economy trade industry ministry foreign affairs ministry finance ministry environment brief chief cabinet secretary nobutaka machimura 20 february environmental goal believe japan work achieve g8 summit lake toya japan july obtain agreement use sectorbased cumulative approach mediumterm emission reduction target individual country mention key objective japan seek demonstrate leadership environmental sector summit announce domestic emission reduction goal prior meeting
108.pdf,"""Japanese Strive to Avoid Damage to U.S. Relations Over Cherry Imports (TS//SI//OC/NF)

(TS//SI//OC/NF) Officials in the Japanese Ministry of Agriculture, Forestry, and Fisheries (MAFF) appeared recently to be seeking ways to prevent damage to relations with the U.S. over the ministry's decision to delay the importation of U.S.-­origin cherries, a decision driven by Japanese politicians and growers. MAFF was alarmed by the very strong reaction of the U.S. Department of Agriculture to Tokyo's ruling that imports could not commence until the end of this month, when a pilot program involving inspections in the U.S. Pacific Northwest by a MAFF inspector is expected to be concluded satisfactorily. One approach under consideration is to have the ministry admit to Washington, through back channels, that the decision had been the product of political pressure. Also, it was recommended that the U.S. be notified that­­unlike in the beef dispute­­imports could begin as soon as the result of on­site inspection is confirmed, rather than after the inspector had returned to Japan and more tests conducted. The principal fear among the Japanese is that the issue will become similarly politicized, possibly at senior levels, in Washington. 

Unconventional 

Japanese governmental  

Z­3/OO/515570­09, 221708Z""",japanese strive avoid damage relations cherry imports tssioc nf tssioc nf officials japanese ministry agriculture forestry fisheries maff appear recently seek way prevent damage relation ministry decision delay importation usorigin cherry decision drive japanese politician grower maff alarm strong reaction department agriculture tokyos ruling import commence end month pilot program involve inspection pacific northwest maff inspector expect conclude satisfactorily approach consideration ministry admit washington channel decision product political pressure recommend notify thatunlike beef disputeimport begin soon result onsite inspection confirm inspector return japan test conduct principal fear japanese issue similarly politicized possibly senior level washington unconventional japanese governmental z3 oo 51557009 221708z
108.pdf,"""Description

This  is  a  Secret  US  National  Security Agency  (NSA)  2009  report  derived  from  intelligence  intercepts  of officials within the Japanese Ministry of Agriculture, Forestry and Fisheries. The report indicates that the National  Security  Agency  knew  of  the  options  under  consideration  within  the  Ministry  for  how  Japan should seek to patch up bilateral relations with the US over a trade dispute concerning the import of US cherries. Among  the  options  being  discussed  were  the  use  of  back  channels  to  share  information  with Washington. The report indicates that the main Japanese incentive is the avoidance of politicization of the trade issue in Washington.""",description secret national security agency nsa 2009 report derive intelligence intercept official japanese ministry agriculture forestry fisheries report indicate national security agency know option consideration ministry japan seek patch bilateral relation trade dispute concern import cherry option discuss use channel share information washington report indicate main japanese incentive avoidance politicization trade issue washington
11.pdf,"Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised the Department of Transport and Infrastructure (DOTI) Official 1. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from the armed forces of a United Nations member state, specifically Airport Engineer I, Airport Engineer 2 and Airport Engineer 3, and later by the Consultant from the Consulting Firm. On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed at the Airport Sector, KTA at the same time. Under him were the PEAP Official and the Air Traffic Control Services (ATCS) Official. On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR was handed over to civilian jurisdiction, under ICAO regulations. It is against this background of change that procurement procedures relating to the following contract have been examined.",end june 2002 responsibility administration pristina airport entrust civil administration pillar pillar ii unmik include official 1 official 2 pillar ii supervise department transport infrastructure doti official 1 doti later know transport sector unmik directorate infrastructure affairs doti official 1 leave unmik end june 2002 doti official 2 recruit doti international staff member 31 july 2000 charge airport operation report doti official 1 continue role 30 september 2001 engineering expertise provide series engineer second armed force united nations member state specifically airport engineer airport engineer 2 airport engineer 3 later consultant consulting firm 1 july 2002 responsibility administration airport pass pillar ii kosovo trust agency kta pillar iv divisional manager appoint airport sector kta time peap official air traffic control services atcs official 1 april 2004 pristina international airport time jurisdiction kfor hand civilian jurisdiction icao regulation background change procurement procedure relate follow contract examine
11.pdf,"METHODOLOGY This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by interviews with persons indicated to be witnesses and persons potentially implicated in the allegations; by obtaining documents from the Pristina Airport administration and from Pillar IV, which were then analysed for relevance to the inquiry at hand. This report details the findings resulting from these enquiries. BACKGROUND INFORMATION Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hanger, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina, (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999, UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport.",methodology investigation conduct pursuant executive decision 2003 16 establishment investigation task force itf investigator conduct enquiry allegation raise interview person indicate witness person potentially implicate allegation obtain document pristina airport administration pillar iv analyse relevance inquiry hand report detail finding result enquiry background information pristina international airport constitute state own enterprise yugoslavian law asset airport include runway terminal building hang fuel storage facility equipment period cover investigation 2001 2003 maintain public enterprise airport pristina peap cooperation military units kosovo force kfor pursuant united nations security council resolution 1244 date 10 june 1999 unmik regulation 1 1999 date 25 july 1999 unmik mandate administer territory kosovo include state own publicly own asset include pristina international airport
110.pdf,"The EU and Japan were engaged as of early December in strategy sessions aimed at a common handling policy to deal with potential U.S. moves in the Doha Round negotiations. There was a conviction in both Brussels and Tokyo, according to Japanese reporting, that great care must be taken to avoid falling prey to U.S. moves designed to extort concessions through exaggerated initial demands. Regarding U.S. domestic supports for agriculture, for example, Japanese Minister of Agriculture, Forestry, and Fisheries Toshikatsu Matsuoka and EU Agriculture Commissioner Marianne Fischer-Boel recently pondered whether to jump-start the negotiations by asking the U.S. for a specific dollar figure in reduced supports. The problem for the EU, it was noted, is whether or not the proposed $17 billion mark is an acceptable point of departure, since U.S. supports at that level are judged to be in no way comparable to the breadth of market access that Brussels put on the table last July. A figure of $14 to $15 billion would be more in line with the EU's thinking, Fischer-Boel indicated. The EU also had concerns that Washington may be headed for a showdown with developing countries over special products. As for sensitive products, Fischer-Boel's deputy chef de cabinet, Klaus-Dieter Borchardt, hinted to the Japanese that the EU may be willing to go lower than its current official limit of 8 percent, possibly as low as 4 to 5 percent; however, that would be hard for Japan to accept. Borchardt also tried to allay Japanese fears that the EU might try again to enter into a bilateral, under-the-table deal with the U.S. (as had happened in Cancun in 2003), saying that Brussels had learned its lesson with respect to such back-door actions.",eu japan engage early december strategy session aim common handling policy deal potential move doha round negotiation conviction brussels tokyo accord japanese report great care take avoid fall prey move design extort concession exaggerated initial demand domestic support agriculture example japanese minister agriculture forestry fisheries toshikatsu matsuoka eu agriculture commissioner marianne fischerboel recently ponder jumpstart negotiation ask specific dollar figure reduce support problem eu note propose 17 billion mark acceptable point departure support level judge way comparable breadth market access brussels table july figure 14 15 billion line eus think fischerboel indicate eu concern washington head showdown develop country special product sensitive product fischerboels deputy chef de cabinet klausdieter borchardt hint japanese eu willing low current official limit 8 percent possibly low 4 5 percent hard japan accept borchardt try allay japanese fear eu try enter bilateral underthetable deal happen cancun 2003 say brussels learn lesson respect backdoor action
